제목,언론사,URL
"李 ""회사 망한단 생각 들게 해야""…개보위, 매출 최대 10% 과징금 부과 추진",데일리안,https://n.news.naver.com/mnews/article/119/0003036453
"[DD퇴근길] '게임계 오스카'도 인정…아크 레이더스, TGA 수상 영예",디지털데일리,https://n.news.naver.com/mnews/article/138/0002212414
"李 ""국민 피해 준 기업, 망할 생각해야…집단소송 입법 서둘러라""",한국경제,https://n.news.naver.com/mnews/article/015/0005223857
"더존비즈온, 한국AI서비스학회 학술대회서 '최우수논문상' 수상",서울경제,https://n.news.naver.com/mnews/article/011/0004566703
"""국대 AI 내년 6월까지 세계10위권 목표…오픈소스로 바로 개방""",뉴스1,https://n.news.naver.com/mnews/article/421/0008658268
"정부, 해킹 반복 기업에 '매출 3% 과징금' 추진(종합)",연합뉴스,https://n.news.naver.com/mnews/article/001/0015793512
"""개인정보 유출시 매출의 10% 징벌적 과징금""",비즈워치,https://n.news.naver.com/mnews/article/648/0000042612
"[그래픽] 개인정보위, 개인정보 보호체계 확립 방안 주요 내용",연합뉴스,https://n.news.naver.com/mnews/article/001/0015793484
"개보위, 공공기관 유출사고 페널티 강화…개선 권고 시 명단공개",연합뉴스,https://n.news.naver.com/mnews/article/001/0015793479
"개보위, 내년 업무계획 보고…“중대위반에 '매출 최대 10%' 징벌적과징금”",전자신문,https://n.news.naver.com/mnews/article/030/0003380105
정보유출 반복 기업에 매출 10% 과징금…정부 '엄정 제재' 칼 뽑았다,디지털데일리,https://n.news.naver.com/mnews/article/138/0002212372
"개인정보위 ""쿠팡에 징벌적 과징금 소급적용 어렵다""[일문일답]",뉴시스,https://n.news.naver.com/mnews/article/003/0013654908
"정부, 해킹 반복 기업에 '매출 3% 징벌적 과징금' 추진",연합뉴스TV,https://n.news.naver.com/mnews/article/422/0000811568
"개보위, 매출 10% 징벌적과징금 추진…단체소송에 손해배상 포함(종합)",연합뉴스,https://n.news.naver.com/mnews/article/001/0015793319
"정부, 해킹 반복 기업에 '매출 3% 과징금' 추진",연합뉴스,https://n.news.naver.com/mnews/article/001/0015793292
"이 대통령, 개인정보 유출 과징금 상향 지시…""집단소송제 꼭 도입돼야""",뉴시스,https://n.news.naver.com/mnews/article/003/0013654835
개인정보 유출 사고 최대 매출 10% 과징금 부과·집단 손배 청구(종합),뉴시스,https://n.news.naver.com/mnews/article/003/0013654828
"송경희 개보위원장 ""개인정보 유출 땐 매출 10% 과징금""",뉴시스,https://n.news.naver.com/mnews/article/003/0013654820
"개인정보위, 중대위반에 '매출 최대 10%' 징벌적과징금 도입키로",연합뉴스,https://n.news.naver.com/mnews/article/001/0015793238
"李대통령, KISA·개보위 '특사경 도입' 주장에 ""해야할 것 같다""",연합뉴스,https://n.news.naver.com/mnews/article/001/0015793176
"李 대통령, 정보유출 '처벌 강화' 주문…""기업 망한다는 생각 들게""",디지털데일리,https://n.news.naver.com/mnews/article/138/0002212361
"한국재난안전경영협회, 남부발전에서 공기업 최초 '현장 맞춤형 AI 활용 안전관리자 과정' 교육",전자신문,https://n.news.naver.com/mnews/article/030/0003380038
"모니터랩, KISA '제로트러스트·통합보안 서밋'서 성과 발표",디지털데일리,https://n.news.naver.com/mnews/article/138/0002212359
"지란지교소프트, 토스미니앱에 '제로가드 라이트' 출시",디지털데일리,https://n.news.naver.com/mnews/article/138/0002212358
"개인정보위, 개인정보 처리방침 미흡 공개 처리자에 엄중 경고",전자신문,https://n.news.naver.com/mnews/article/030/0003380034
"""개인정보 처리방침 제대로 공개하라""…개인정보위, 주의사항 안내",디지털데일리,https://n.news.naver.com/mnews/article/138/0002212357
"개인정보위, 개인정보 처리방침 부실 기재한 4개 업체에 '경고'",연합뉴스,https://n.news.naver.com/mnews/article/001/0015793150
"개인정보위, 개인정보 처리방침 미흡 4곳에 경고 조치",뉴시스,https://n.news.naver.com/mnews/article/003/0013654623
"과기정통부, 美 실리콘밸리서 'G-KIC 컨퍼런스' 개최",뉴시스,https://n.news.naver.com/mnews/article/003/0013654618
"오픈AI, PPT·엑셀 문서 작성 역량 강화한 'GPT-5.2' 출시",서울경제,https://n.news.naver.com/mnews/article/011/0004566567
"쿠팡, 와우 멤버십 해지 단계 두 단계로 간소화",연합뉴스TV,https://n.news.naver.com/mnews/article/422/0000811481
'배우자 외도 실시간 감청'…불법 프로그램 판매 일당 중형,연합뉴스TV,https://n.news.naver.com/mnews/article/422/0000811480
"샌즈랩, '2025 신기술실용화 촉진대회' 장관상 수상",디지털데일리,https://n.news.naver.com/mnews/article/138/0002212338
"이스트시큐리티, 연말 맞이 신규 고객 특별 프로모션",전자신문,https://n.news.naver.com/mnews/article/030/0003379982
"휴네시온, 한전KDN 주최 'ICT&보안 컨퍼런스'서 N2SF 전환 전략 발표",전자신문,https://n.news.naver.com/mnews/article/030/0003379981
"""해킹도구 만들 개발자 뽑아요""…다크웹 구인·구직 2배 늘었다",디지털데일리,https://n.news.naver.com/mnews/article/138/0002212333
"[속보] ""보안사고 반복 기업에 징벌적 과징금""…정부, 해킹과 전면전",한국경제,https://n.news.naver.com/mnews/article/015/0005223633
"[속보] ""보안사고 반복 기업에 징벌적 과징금""…정부, 해킹과 전면전",연합뉴스TV,https://n.news.naver.com/mnews/article/422/0000811469
"[테크스냅] 네이버, 연말 개인정보보호 인식 강화 캠페인",연합뉴스,https://n.news.naver.com/mnews/article/001/0015792646
[2025결산/보안] 해킹에 무너진 대한민국…'범부처 종합대책' 손질 시작,디지털데일리,https://n.news.naver.com/mnews/article/138/0002212314
"""랜섬웨어 해결해도 또다시 감염""…코헤시티가 제시한 5단계 회복법은?",디지털데일리,https://n.news.naver.com/mnews/article/138/0002212301
'복심' 내세운 김범석…청문회 출석 향방은,뉴스1,https://n.news.naver.com/mnews/article/421/0008656897
"하이퍼리즘, 블록체인 보안 솔루션 도입…""리스크 관리 강화""",서울경제,https://n.news.naver.com/mnews/article/011/0004566410
